name,screen_name,party,total_tweets,covid_tweets
"Silberhorn, Thomas",SilberhornMdB,CSU,110,22
"Schreiber, Eva-Maria",MdB_Schreiber,Die Linke,377,91
"Straetmanns, Friedrich",FrStraetmanns,Die Linke,523,111
"Busen, Karlheinz",busen_mdb,FDP,16,5
"Djir-Sarai, Bijan",DjirSarai,FDP,242,30
"in der Beek, Olaf",olafinderbeek,FDP,262,58
"Willkomm, Katharina",k_willkomm,FDP,451,33
"Mansmann, Till",TillMansmann,FDP,43,7
"Müller, Alexander",alexmuellerfdp,FDP,361,34
"Reinhold, Hagen",reinholdmdb,FDP,847,125
"Skudelny, Judith",JudithSkudelny,FDP,236,44
"Dilcher, Esther",EstherDilcher,SPD,0,0
"Aggelidis, Grigorios",aggelidis_fdp,FDP,195,58
"Hollnagel, Dr. Bruno",DrHollnagel,AfD,44,22
"Wiehle, Wolfgang",WolfgangWiehle,AfD,376,151
"Heilmann, Prof. Thomas",ThomasHeilmann,CDU,169,11
"Hocker, Dr. Gero",GeroHocker,FDP,242,35
"Müller, Hansjörg Gerhard Georg",MdB_Mueller_AfD,AfD,112,41
"Müller-Rosentritt, Frank",theliberalfrank,FDP,265,46
"Neumann, Prof. Dr. Martin",_MartinNeumann,FDP,1014,221
"Rottmann, Dr. Manuela",ManuelaRottman,Bündnis 90/Die Grünen,1220,81
"Alt, Renata",RenataAlt_MdB,FDP,468,102
"Dassler, Britta",BrittaDassler,FDP,39,12
"Klein, Karsten",MdBKlein,FDP,260,76
"Westig, Nicole",NicoleWestig,FDP,100,32
"Völlers, Marja-Liisa",MarjaVoellers,SPD,304,35
"Herbrand, Markus",HerbrandMarkus,FDP,213,38
"Ihnen, Ulla",ullaihnen,FDP,91,11
"Kießling, Michael",Kiessling_MdB,CSU,10,2
"Lechte, Ulrich",ulrichlechte,FDP,265,64
"Ludwig, Daniela",DaniLudwigMdB,CSU,839,73
"Mohamed Ali, Amira",Amira_M_Ali,Die Linke,179,37
"Ploß, Dr. Christoph ",christophploss,CDU,469,101
"Schlund, Dr. Robby",DrRobbySchlund,AfD,0,0
"Röttgen, Dr. Norbert",n_roettgen,CDU,1589,200
"Sauter, Christian",Chr_Sauter,FDP,8,0
"Seestern-Pauly, Matthias",mseesternpauly,FDP,36,10
"Throm, Alexander",alexander_throm,CDU,96,12
"Malsack-Winkemann, Dr. Birgit",MalsackWinkeman,AfD,198,98
"Bauer, Nicole",nicole_ae_bauer,FDP,133,24
"Esdar, Wiebke",wiebkeesdar1,SPD,0,0
"Moll, Claudia",ClaudiaMollMdB,SPD,11,0
"Rachel, Thomas",_ThomasRachel,CDU,30,5
"Tatti, Jessica",jessica_tatti,Die Linke,6,0
"Ferschl, Susanne",SusanneFerschl,Die Linke,535,122
"Heidenblut, Dirk",DHeidenblut,SPD,5,0
"Hoffmann, Dr. Christoph",HoffmannForest,FDP,1554,437
"Tillmann, Antje",AntjeTillmann,CDU,137,12
"Westphal, Bernd",BerndWestphal4,SPD,42,1
"Maag, Karin",MaagKarin,CDU,65,7
"Ryglewski, Sarah",RyglewskiS,SPD,81,15
"Hennrich, Michael",MichaelHennric2,CDU,15,0
"Motschmann, Elisabeth",ElisabethMotsc1,CDU,80,14
"Stegemann, Albert",StegemannAlbert,CDU,17,2
"Mackensen, Isabel",IsabelMackensen,SPD,51,0
"Heidt, Peter",PeterHeidtFDP,FDP,179,36
"Connemann, Gitta",gitta_connemann,CDU,149,37
"Fahimi, Yasmin",FahimiYasmin,SPD,134,2
"Gnodtke, Eckhard",EckhardGnodtke,CDU,71,5
"Patzelt, Martin",MPatzeltCDU,CDU,56,10
"Kulitz, Alexander",AKulitz,FDP,47,11
"Rützel, Bernd",ruetzelbernd,SPD,0,0
"Baumann, Dr. Bernd",BerndBaumannAfD,AfD,51,6
"Frei, Thorsten",thorsten_frei,CDU,17,0
"Grundl, Erhard",Erhard_Grundl,Bündnis 90/Die Grünen,229,64
"Hohmann, Martin",HohmannMdb,AfD,107,20
"Bubendorfer-Licht, Sandra",Bubendorferfdp,FDP,221,37
"Martens, Dr. Jürgen",juergen_martens,FDP,47,7
"Bach, Bela",bela_bach,SPD,108,23
"Freitag, Dagmar",DagmarFreitag13,SPD,890,54
"Weingarten, Joe",DrJoeWeingarten,SPD,151,13
"Schneidewind-Hartnagel, Charlotte",charlotte_mdb,Bündnis 90/Die Grünen,18,6
"Zickenheiner, Gerhard",GZickenheiner,Bündnis 90/Die Grünen,105,11
"Monstadt, Dietrich",MdBMonstadt,CDU,0,0
"Vries, Christoph de",VriesChristoph,CDU,80,6
"Nölke, Matthias",Matthiasnoelke,FDP,50,2
"Martin, Dorothee",Doro_Martin,SPD,509,37
"Lehmann, Sylvia",LehmannSpd,SPD,0,0
"Hilse, Karsten",HilseMdb,AfD,1,0
"Huber, Johannes",HuberMdB,AfD,138,21
"Krichbaum, Gunther",GuntherKrichba3,CDU,19,1
"Ludwig, Saskia",SaskiaLudwig17,CDU,274,26
"Möller, Siemtje",SiemtjeMdB,SPD,244,13
"Otten, Gerold",Gerold_Otten,AfD,72,12
"Kramp-Karrenbauer, Annegret",akk,CDU,171,32
"Klöckner, Julia",JuliaKloeckner,CDU,518,56
"Schulze, Svenja",SvenjaSchulze68,SPD,311,41
"Söder, Markus",Markus_Soeder,CSU,496,235
"Walter-Borjans, Norbert",NowaboFM,SPD,696,62
"Meuthen, Prof. Dr. Norbert",Joerg_Meuthen,AFD,344,66
"Beck, Volker",Volker_Beck,Bündnis 90/Die Grünen,4392,259
"Polenz, Ruprecht",polenz_r,CDU,11728,1732
"Kühnert, Kevin",KuehniKev,SPD,3053,99
"Stegner, Ralf",Ralf_Stegner,SPD,3580,778
